자치구별(1),자치구별(2),시점,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
자치구별(1),자치구별(2),시점,개,개,개,개,개,고양이,고양이,고양이,고양이,고양이
자치구별(1),자치구별(2),시점,소계,인도(주인),입양분양,폐사안락사,계류기증,소계,인도(주인),입양분양,폐사안락사,계류기증
합계,소계,2021,"2,784","1,260","1,110",341,73,"2,526",72,970,"1,417",67
합계,소계,2022,"2,491","1,110",814,536,31,"2,134",56,621,"1,393",64
합계,종로구,2021,92,24,43,19,6,94,-,13,80,1
합계,종로구,2022,79,28,22,29,-,103,1,15,87,-
합계,중구,2021,32,20,5,5,2,56,-,18,38,-
합계,중구,2022,36,19,10,7,-,47,1,13,33,-
합계,용산구,2021,112,80,30,1,1,146,5,82,55,4
합계,용산구,2022,118,79,33,5,1,115,11,48,56,-
합계,성동구,2021,75,25,36,13,1,77,-,15,62,-
합계,성동구,2022,70,34,17,19,-,91,3,11,77,-
합계,광진구,2021,73,35,28,10,-,77,1,20,56,-
합계,광진구,2022,67,33,27,7,-,96,2,18,76,-
합계,동대문구,2021,100,40,47,11,2,90,-,26,63,1
합계,동대문구,2022,94,34,41,18,1,99,3,38,57,1
합계,중랑구,2021,107,48,41,12,6,109,14,16,75,4
합계,중랑구,2022,102,48,35,16,3,84,-,25,53,6
합계,성북구,2021,175,64,82,26,3,48,1,12,35,-
합계,성북구,2022,115,48,35,32,-,44,1,6,37,-
합계,강북구,2021,166,67,62,34,3,72,1,13,58,-
합계,강북구,2022,162,56,63,43,-,91,-,21,70,-
합계,도봉구,2021,101,47,37,17,-,55,-,11,43,1
합계,도봉구,2022,82,45,24,13,-,47,3,18,26,-
합계,노원구,2021,121,54,46,13,8,55,2,5,47,1
합계,노원구,2022,137,48,54,30,5,63,-,7,56,-
합계,은평구,2021,171,63,58,47,3,103,2,15,86,-
합계,은평구,2022,152,62,39,50,1,106,3,18,84,1
합계,서대문구,2021,69,26,25,17,1,83,3,19,60,1
합계,서대문구,2022,80,30,23,27,-,38,-,15,23,-
합계,마포구,2021,90,47,38,3,2,213,5,144,51,13
합계,마포구,2022,82,45,26,5,6,199,6,129,53,11
합계,양천구,2021,129,89,36,3,1,126,7,55,64,-
합계,양천구,2022,93,54,22,17,-,82,7,27,46,2
합계,강서구,2021,102,41,40,16,5,61,2,12,46,1
합계,강서구,2022,119,49,42,27,1,86,2,13,70,1
합계,구로구,2021,93,46,36,11,-,88,-,13,75,-
합계,구로구,2022,94,43,32,19,-,71,2,13,56,-
합계,금천구,2021,61,25,21,11,4,70,-,6,63,1
합계,금천구,2022,100,33,38,27,2,43,-,6,37,-
합계,영등포구,2021,81,31,37,11,2,66,2,10,53,1
합계,영등포구,2022,72,37,23,11,1,68,-,7,59,2
합계,동작구,2021,109,81,24,2,2,112,3,51,36,22
합계,동작구,2022,68,41,17,9,1,147,2,38,84,23
합계,관악구,2021,257,112,132,8,5,319,11,268,38,2
합계,관악구,2022,199,74,62,61,2,89,3,25,54,7
합계,서초구,2021,133,36,73,22,2,37,3,7,27,-
합계,서초구,2022,77,23,26,24,4,45,-,10,34,1
합계,강남구,2021,66,34,22,9,1,64,3,11,48,2
합계,강남구,2022,92,41,37,14,-,47,1,9,37,-
합계,송파구,2021,103,41,46,15,1,100,2,16,82,-
합계,송파구,2022,69,35,17,16,1,97,3,14,79,1
합계,강동구,2021,166,84,65,5,12,205,5,112,76,12
합계,강동구,2022,132,71,49,10,2,136,2,77,49,8
